contract,operationId,path,verb,state,siblingScreens,noScreenReason
fnb,createTable,/tables,post,actionOnExistingScreen,clearTable,
fnb,updateTable,/tables/{tableId},put,actionOnExistingScreen,clearTable,
identity,updateAccessPolicy,/access-policies/{policyId},put,actionOnExistingScreen,createAccessPolicy | listAccessPolicies,
identity,setAccessPolicyState,/access-policies/{policyId}/state,post,actionOnExistingScreen,createAccessPolicy | listAccessPolicies,
inventory,submitCountLines,/stock-counts/{countId}/lines,post,actionOnExistingScreen,cancelStockCount | getCountVariance,
marketing-crm,recordTouchPoint,/attribution/touches,post,machineToMachine,,
marketing-crm,setCallDisposition,/conversations/{conversationId}/disposition,post,actionOnExistingScreen,claimConversation | closeConversation,
marketing-crm,setGuestExtraValues,/guests/{guestId}/extra-values,put,actionOnExistingScreen,addToWishlist | adjustLoyaltyPoints,
marketing-crm,addGuestNote,/guests/{subjectId}/notes,post,actionOnExistingScreen,addToWishlist | adjustLoyaltyPoints,
marketing-crm,startKioskAssist,/kiosk-assists,post,actionOnExistingScreen,endKioskAssist,
marketing-crm,recordLostItem,/lost-items,post,actionOnExistingScreen,listLostItems | matchLostItem,
marketing-crm,accrueLoyaltyPoints,/loyalty/accruals,post,machineToMachine,createLoyaltyProgramme | getLoyaltyPosition,
marketing-crm,setLoyaltyCampaign,/loyalty/campaigns,put,actionOnExistingScreen,createLoyaltyProgramme | getLoyaltyPosition,
marketing-crm,setLoyaltyRules,/loyalty/programmes/{programmeId}/rules,put,actionOnExistingScreen,createLoyaltyProgramme | getLoyaltyPosition,
marketing-crm,issueReward,/loyalty/reward-assignments,post,actionOnExistingScreen,createLoyaltyProgramme | getLoyaltyPosition,
marketing-crm,setReward,/loyalty/rewards,put,actionOnExistingScreen,createLoyaltyProgramme | getLoyaltyPosition,
orders,convertToTermProduct,/orders/{orderId}/convert-to-term,post,actionOnExistingScreen,applyManualDiscount | createOrder,
orders,createReservation,/reservations,post,actionOnExistingScreen,cancelReservation | getReservation,
orders,convertReservation,/reservations/{reservationId}/convert,post,actionOnExistingScreen,cancelReservation | getReservation,
orders,extendReservation,/reservations/{reservationId}/extend,post,actionOnExistingScreen,cancelReservation | getReservation,
orders,pushWalletPassUpdate,/wallet-passes/{passId}/push,post,actionOnExistingScreen,issueWalletPass,
